Time,Node,Type,Destination,Retransmitter,Metric,SeqNumber
+311420176.0ns,28,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,887,2
+311420176.0ns,28,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,887,2
+311420193.0ns,50,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:01,979,2
+311420193.0ns,50,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:01,979,2
+312186671.0ns,0,Add Reactive,00:00:00:00:00:1d,00:00:00:00:00:1d,887,2
+313267695.0ns,0,Add Reactive,00:00:00:00:00:33,00:00:00:00:00:33,117,2
+323469772.0ns,36,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1d,1913,2
+323469772.0ns,36,Add Reactive,00:00:00:00:00:1d,00:00:00:00:00:1d,1026,2
+323469772.0ns,36,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1d,1913,2
+323469830.0ns,50,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1d,967,2
+323469830.0ns,50,Add Reactive,00:00:00:00:00:1d,00:00:00:00:00:1d,80,2
+323469830.0ns,50,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1d,967,2
+323469832.0ns,31,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1d,1050,2
+323469832.0ns,31,Add Reactive,00:00:00:00:00:1d,00:00:00:00:00:1d,163,2
+323469832.0ns,31,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1d,1050,2
+323469965.0ns,23,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1d,978,2
+323469965.0ns,23,Add Reactive,00:00:00:00:00:1d,00:00:00:00:00:1d,91,2
+323469965.0ns,23,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1d,978,2
+324216405.0ns,28,Add Reactive,00:00:00:00:00:20,00:00:00:00:00:20,907,2
+325296900.0ns,0,Add Reactive,00:00:00:00:00:20,00:00:00:00:00:1d,1794,2
+326358219.0ns,28,Add Reactive,00:00:00:00:00:25,00:00:00:00:00:25,987,2
+327439361.0ns,28,Add Reactive,00:00:00:00:00:33,00:00:00:00:00:33,887,3
+328499856.0ns,0,Add Reactive,00:00:00:00:00:25,00:00:00:00:00:1d,1874,2
+329581712.0ns,28,Add Reactive,00:00:00:00:00:18,00:00:00:00:00:18,954,2
+330662207.0ns,0,Add Reactive,00:00:00:00:00:33,00:00:00:00:00:1d,1774,3
+332826022.0ns,0,Add Reactive,00:00:00:00:00:18,00:00:00:00:00:1d,1841,2
+334055161.0ns,42,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:33,1866,2
+334055161.0ns,42,Add Reactive,00:00:00:00:00:33,00:00:00:00:00:33,887,2
+334055161.0ns,42,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:33,1866,2
+334055213.0ns,49,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:33,1123,2
+334055213.0ns,49,Add Reactive,00:00:00:00:00:33,00:00:00:00:00:33,144,2
+334055213.0ns,49,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:33,1123,2
+334055225.0ns,33,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:33,1878,2
+334055225.0ns,33,Add Reactive,00:00:00:00:00:33,00:00:00:00:00:33,899,2
+334055225.0ns,33,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:33,1878,2
+334802412.0ns,50,Add Reactive,00:00:00:00:00:2b,00:00:00:00:00:2b,920,2
+335882983.0ns,28,Add Reactive,00:00:00:00:00:2b,00:00:00:00:00:33,1807,2
+336943478.0ns,0,Add Reactive,00:00:00:00:00:2b,00:00:00:00:00:1d,2694,2
+338045291.0ns,50,Add Reactive,00:00:00:00:00:32,00:00:00:00:00:32,985,2
+339105862.0ns,28,Add Reactive,00:00:00:00:00:32,00:00:00:00:00:33,1872,2
+340166357.0ns,0,Add Reactive,00:00:00:00:00:32,00:00:00:00:00:1d,2759,2
+341375846.0ns,46,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2b,2762,2
+341375846.0ns,46,Add Reactive,00:00:00:00:00:2b,00:00:00:00:00:2b,896,2
+341375846.0ns,46,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2b,2762,2
+342122415.0ns,42,Add Reactive,00:00:00:00:00:2f,00:00:00:00:00:2f,887,2
+343243042.0ns,50,Add Reactive,00:00:00:00:00:2f,00:00:00:00:00:2b,1807,2
+344303613.0ns,28,Add Reactive,00:00:00:00:00:2f,00:00:00:00:00:33,2694,2
+345405340.0ns,50,Add Reactive,00:00:00:00:00:22,00:00:00:00:00:22,117,2
+346466406.0ns,0,Add Reactive,00:00:00:00:00:2f,00:00:00:00:00:1d,3581,2
+347567489.0ns,28,Add Reactive,00:00:00:00:00:22,00:00:00:00:00:33,1004,2
+348627984.0ns,0,Add Reactive,00:00:00:00:00:22,00:00:00:00:00:1d,1891,2
+350980273.0ns,53,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:22,2781,2
+350980273.0ns,53,Add Reactive,00:00:00:00:00:22,00:00:00:00:00:22,903,2
+350980273.0ns,53,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:22,2781,2
+351726679.0ns,33,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:36,53,2
+352787370.0ns,50,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:22,170,2
+353867941.0ns,28,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:33,1057,2
+354968436.0ns,0,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:1d,1944,2
+356197764.0ns,32,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:20,1117,2
+356197764.0ns,32,Add Reactive,00:00:00:00:00:20,00:00:00:00:00:20,67,2
+356197764.0ns,32,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:20,1117,2
+356198030.0ns,47,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:20,1937,2
+356198030.0ns,47,Add Reactive,00:00:00:00:00:20,00:00:00:00:00:20,887,2
+356198030.0ns,47,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:20,1937,2
+356984219.0ns,31,Add Reactive,00:00:00:00:00:21,00:00:00:00:00:21,117,2
+358045661.0ns,31,Add Reactive,00:00:00:00:00:30,00:00:00:00:00:30,74,2
+359106234.0ns,28,Add Reactive,00:00:00:00:00:21,00:00:00:00:00:20,1024,2
+360166729.0ns,0,Add Reactive,00:00:00:00:00:21,00:00:00:00:00:1d,1911,2
+361268175.0ns,28,Add Reactive,00:00:00:00:00:30,00:00:00:00:00:20,981,2
+362368670.0ns,0,Add Reactive,00:00:00:00:00:30,00:00:00:00:00:1d,1868,2
+363578663.0ns,51,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,3649,2
+363578663.0ns,51,Add Reactive,00:00:00:00:00:2f,00:00:00:00:00:2f,887,2
+363578663.0ns,51,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,3649,2
+363578708.0ns,56,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2f,3709,2
+363578708.0ns,56,Add Reactive,00:00:00:00:00:2f,00:00:00:00:00:2f,947,2
+363578708.0ns,56,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2f,3709,2
+364345309.0ns,46,Add Reactive,00:00:00:00:00:34,00:00:00:00:00:34,887,2
+365451399.0ns,46,Add Reactive,00:00:00:00:00:39,00:00:00:00:00:39,919,2
+365676701.0ns,59,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:30,2824,2
+365676701.0ns,59,Add Reactive,00:00:00:00:00:30,00:00:00:00:00:30,887,2
+365676701.0ns,59,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:30,2824,2
+366483295.0ns,47,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:3c,887,2
+366511968.0ns,42,Add Reactive,00:00:00:00:00:34,00:00:00:00:00:2f,1774,2
+367592595.0ns,50,Add Reactive,00:00:00:00:00:34,00:00:00:00:00:2b,2694,2
+368674296.0ns,42,Add Reactive,00:00:00:00:00:39,00:00:00:00:00:2f,1806,2
+368675112.0ns,31,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:30,961,2
+369736565.0ns,28,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:20,1868,2
+370797707.0ns,28,Add Reactive,00:00:00:00:00:34,00:00:00:00:00:33,3581,2
+371858202.0ns,0,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:1d,2755,2
+373328769.0ns,54,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:34,4536,2
+373328769.0ns,54,Add Reactive,00:00:00:00:00:34,00:00:00:00:00:34,887,2
+373328769.0ns,54,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:34,4536,2
+374076981.0ns,0,Add Reactive,00:00:00:00:00:34,00:00:00:00:00:1d,4468,2
+375138528.0ns,50,Add Reactive,00:00:00:00:00:39,00:00:00:00:00:2b,2726,2
+376221413.0ns,51,Add Reactive,00:00:00:00:00:37,00:00:00:00:00:37,887,2
+376387940.0ns,17,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:18,1093,2
+376387940.0ns,17,Add Reactive,00:00:00:00:00:18,00:00:00:00:00:18,115,2
+376387940.0ns,17,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:18,1093,2
+376388020.0ns,18,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:18,1044,2
+376388020.0ns,18,Add Reactive,00:00:00:00:00:18,00:00:00:00:00:18,66,2
+376388020.0ns,18,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:18,1044,2
+377194364.0ns,23,Add Reactive,00:00:00:00:00:12,00:00:00:00:00:12,1008,2
+377302059.0ns,46,Add Reactive,00:00:00:00:00:37,00:00:00:00:00:34,1774,2
+378363762.0ns,28,Add Reactive,00:00:00:00:00:39,00:00:00:00:00:33,3613,2
+379424257.0ns,0,Add Reactive,00:00:00:00:00:39,00:00:00:00:00:1d,4500,2
+380506113.0ns,28,Add Reactive,00:00:00:00:00:12,00:00:00:00:00:18,1962,2
+380506173.0ns,42,Add Reactive,00:00:00:00:00:37,00:00:00:00:00:2f,2661,2
+381607813.0ns,0,Add Reactive,00:00:00:00:00:12,00:00:00:00:00:1d,2849,2
+381607885.0ns,50,Add Reactive,00:00:00:00:00:37,00:00:00:00:00:2b,3581,2
+382728896.0ns,28,Add Reactive,00:00:00:00:00:37,00:00:00:00:00:33,4468,2
+383810546.0ns,23,Add Reactive,00:00:00:00:00:13,00:00:00:00:00:13,71,2
+384871747.0ns,0,Add Reactive,00:00:00:00:00:37,00:00:00:00:00:1d,5355,2
+385973603.0ns,28,Add Reactive,00:00:00:00:00:13,00:00:00:00:00:18,1025,2
+387074098.0ns,0,Add Reactive,00:00:00:00:00:13,00:00:00:00:00:1d,1912,2
+388403659.0ns,33,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:32,1196,2
+388403659.0ns,33,Add Reactive,00:00:00:00:00:32,00:00:00:00:00:32,73,2
+388403659.0ns,33,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:32,1196,2
+388403818.0ns,30,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:32,1239,2
+388403818.0ns,30,Add Reactive,00:00:00:00:00:32,00:00:00:00:00:32,116,2
+388403818.0ns,30,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:32,1239,2
+388403877.0ns,10,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:12,1205,2
+388403877.0ns,10,Add Reactive,00:00:00:00:00:12,00:00:00:00:00:12,112,2
+388403877.0ns,10,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:12,1205,2
+388403955.0ns,56,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:32,2059,2
+388403955.0ns,56,Add Reactive,00:00:00:00:00:32,00:00:00:00:00:32,936,2
+388403955.0ns,56,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:32,2059,2
+389151115.0ns,49,Add Reactive,00:00:00:00:00:22,00:00:00:00:00:22,115,3
+390212561.0ns,49,Add Reactive,00:00:00:00:00:39,00:00:00:00:00:39,944,3
+391316080.0ns,50,Add Reactive,00:00:00:00:00:22,00:00:00:00:00:32,1100,3
+392376651.0ns,28,Add Reactive,00:00:00:00:00:22,00:00:00:00:00:33,1987,3
+392378327.0ns,17,Add Reactive,00:00:00:00:00:0b,00:00:00:00:00:0b,70,2
+393438751.0ns,23,Add Reactive,00:00:00:00:00:0b,00:00:00:00:00:12,1078,2
+393439585.0ns,0,Add Reactive,00:00:00:00:00:22,00:00:00:00:00:1d,2874,3
+394541866.0ns,49,Add Reactive,00:00:00:00:00:1f,00:00:00:00:00:1f,887,2
+394669726.0ns,45,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:3c,3711,2
+394669726.0ns,45,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:3c,887,2
+394669726.0ns,45,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:3c,3711,2
+394669949.0ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:3c,3711,2
+394669949.0ns,43,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:3c,887,2
+394669949.0ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:3c,3711,2
+395416653.0ns,59,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:2c,952,2
+395602545.0ns,50,Add Reactive,00:00:00:00:00:39,00:00:00:00:00:32,1929,3
+396664239.0ns,28,Add Reactive,00:00:00:00:00:0b,00:00:00:00:00:18,2032,2
+397725381.0ns,28,Add Reactive,00:00:00:00:00:39,00:00:00:00:00:33,2816,3
+397726406.0ns,59,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:2e,894,2
+398807299.0ns,47,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:3c,1839,2
+398975525.0ns,34,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1f,2126,2
+398975525.0ns,34,Add Reactive,00:00:00:00:00:1f,00:00:00:00:00:1f,887,2
+398975525.0ns,34,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1f,2126,2
+398975755.0ns,22,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1f,1376,2
+398975755.0ns,22,Add Reactive,00:00:00:00:00:1f,00:00:00:00:00:1f,137,2
+398975755.0ns,22,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1f,1376,2
+399743047.0ns,30,Add Reactive,00:00:00:00:00:17,00:00:00:00:00:17,887,2
